RowsA,ColsA,ColsB,CGRA,CPU,Speedup
66,32,35,131372,1059111,"8,06"
66,33,32,71901,997858,"13,88"
66,33,33,74116,1100813,"14,85"
66,33,34,104290,1134286,"10,88"
66,33,35,134687,1167616,"8,67"
66,34,32,73949,1027426,"13,89"
66,34,33,76341,1133626,"14,85"
66,34,34,107658,1167803,"10,85"
66,34,35,138535,1202266,"8,68"
66,35,32,75996,1056994,"13,91"
66,35,33,78446,1166296,"14,87"
66,35,34,110732,1201606,"10,85"
66,35,35,146918,1236773,"8,42"
67,32,32,73749,983021,"13,33"
67,32,33,75666,1084471,"14,33"
67,32,34,74316,1044471,"14,05"
67,32,35,104109,1075157,"10,33"
67,33,32,75925,1083662,"14,27"
67,33,33,77901,1117491,"14,35"
67,33,34,78669,1076363,"13,68"
67,33,35,107257,1107987,"10,33"
67,34,32,78101,1115822,"14,29"
67,34,33,80168,1150801,"14,35"
67,34,34,78682,1108177,"14,08"
67,34,35,110405,1140817,"10,33"
67,35,32,80277,1147982,"14,30"
67,35,33,82435,1183966,"14,36"
67,35,34,80859,1140147,"14,10"
67,35,35,113849,1173569,"10,31"
68,32,32,73749,997692,"13,53"
68,32,33,75669,1100656,"14,55"
68,32,34,74326,1060059,"14,26"
68,32,35,105579,1091203,"10,34"
68,33,32,75925,1099835,"14,49"
68,33,33,77904,1134169,"14,56"
68,33,34,78673,1092427,"13,89"
68,33,35,108772,1124523,"10,34"
68,34,32,78101,1132475,"14,50"
68,34,33,80171,1167976,"14,57"
68,34,34,78688,1124716,"14,29"
68,34,35,111965,1157843,"10,34"
68,35,32,80277,1165115,"14,51"
68,35,33,82438,1201636,"14,58"
68,35,34,80868,1157163,"14,31"
68,35,35,114863,1191084,"10,37"
69,32,32,73900,1082882,"14,65"
69,32,33,75298,1044045,"13,87"
69,32,34,89567,1075647,"12,01"
69,32,35,122756,1107249,"9,02"
69,33,32,76076,1043212,"13,71"
69,33,33,77492,1075843,"13,88"
69,33,34,92033,1108491,"12,04"
69,33,35,126474,1141059,"9,02"
69,34,32,78252,1074124,"13,73"
69,34,33,79751,1107801,"13,89"
69,34,34,95056,1141255,"12,01"
69,34,35,129903,1174869,"9,04"
69,35,32,80428,1105036,"13,74"
69,35,33,81957,1139679,"13,91"
69,35,34,97723,1174179,"12,02"
69,35,35,132166,1208599,"9,14"
70,32,32,74163,1098575,"14,81"
70,32,33,76401,1133026,"14,83"
70,32,34,104741,1167326,"11,14"
70,32,35,136802,1201626,"8,78"
70,33,32,76338,1058330,"13,86"
70,33,33,78654,1167525,"14,84"
70,33,34,108724,1203026,"11,06"
70,33,35,140462,1238376,"8,82"
70,34,32,78514,1089690,"13,88"
70,34,33,81010,1202326,"14,84"
70,34,34,112131,1238575,"11,05"
70,34,35,144381,1275126,"8,83"
70,35,32,80689,1121050,"13,89"
70,35,33,83246,1236976,"14,86"
70,35,34,115110,1274426,"11,07"
70,35,35,152902,1311725,"8,58"
71,32,32,78058,1041705,"13,35"
71,32,33,80077,1149211,"14,35"
71,32,34,78664,1106823,"14,07"
71,32,35,109966,1139341,"10,36"
71,33,32,80362,1148354,"14,29"
71,33,33,82443,1184203,"14,36"
71,33,34,82956,1140619,"13,75"
71,33,35,113263,1174131,"10,37"
71,34,32,82666,1182434,"14,30"
71,34,33,84841,1219501,"14,37"
71,34,34,82248,1174333,"14,28"
71,34,35,116543,1208921,"10,37"
71,35,32,84970,1216514,"14,32"
71,35,33,87239,1254646,"14,38"
71,35,34,83780,1208211,"14,42"
71,35,35,117742,1243629,"10,56"
